PLAYER_ID,HEIGHT,WEIGHT,POSITION
78374,79,185,Forward
200782,78,245,Forward
78375,77,193,Guard
1726,81,216,Forward
2045,82,220,Forward
78377,71,160,Guard
78385,79,220,Forward
78378,77,190,Guard
202323,79,220,Guard-Forward
78379,79,200,Guard
78380,76,170,Guard
78382,77,200,Guard
78381,81,230,Forward
1819,80,245,Forward
1626167,83,250,Center-Forward
78386,83,240,Center
78387,73,175,Guard
78388,78,210,Forward
189,73,185,Guard
202719,82,250,Forward
78390,79,215,Forward
78391,80,230,Center
202327,82,245,Center-Forward
2757,75,205,Guard
78392,79,245,Center
78393,76,185,Guard
78394,74,180,Guard
1627784,81,221,Forward
202386,75,205,Guard
201987,77,205,Guard-Forward
202685,84,265,Center
78395,74,183,Guard
1627756,78,210,Guard
78396,79,210,Forward
78397,75,185,Guard
78398,77,210,Guard
78399,77,202,Forward
78401,75,185,Guard-Forward
78400,79,195,Forward
89,73,190,Guard
1496,82,245,Forward
78406,73,173,Guard
1627832,72,195,Guard
78402,75,195,Guard
78403,80,215,Forward
1629020,81,214,Forward
78405,75,195,Forward
78404,80,220,Forward
78407,85,255,Center
2128,77,200,Guard
2237,85,265,Center
202363,81,230,Forward-Center
78409,75,190,Guard
1521,73,190,Guard
78411,76,205,Forward
919,81,240,Forward-Center
78413,73,190,Guard
78414,81,215,Forward
202686,84,242,Forward
78415,78,195,Forward
78416,81,215,Forward
101111,83,232,Forward
78418,79,220,Forward
78417,74,185,Guard
78419,81,240,Forward
78420,76,205,Forward
78421,82,218,Center
203943,81,250,Forward
2063,83,255,Center
78423,79,210,Forward
78425,84,220,Center
202696,84,260,Center
2756,79,195,Guard
2548,76,220,Guard
78426,71,160,Guard
101144,77,209,Guard
78427,77,210,Center
78428,72,170,Guard
78429,77,185,Guard
1629021,83,245,Center
203079,76,215,Guard
78430,83,225,Center
78431,74,175,Guard
78432,82,220,Center
78433,76,190,Guard
952,81,245,Forward
78434,78,205,Forward
78435,79,212,Forward
78437,76,180,Guard
78436,73,172,Guard
201611,78,235,Forward
78438,75,210,Forward
78439,75,195,Guard
202689,73,184,Guard
78440,80,210,Forward
78441,75,180,Guard
78442,80,190,Forward
1629022,77,205,Guard
202322,76,210,Guard
1112,81,240,Forward-Center
2222,79,220,Forward
961,81,225,Forward
78443,73,185,Guard
1627820,77,198,Guard
78444,78,220,Forward
78445,76,215,Forward
78446,76,195,Forward
78447,74,160,Guard
78448,71,163,Guard
78450,83,210,Center
78449,72,160,Guard
2575,80,235,Forward
1628476,73,185,Guard
202954,76,210,Guard
78453,72,170,Guard
78454,74,165,Guard
78455,76,195,Guard
78456,76,195,Guard
78457,79,210,Forward
78458,77,200,Forward
78459,77,200,Guard
78460,81,220,Forward
78461,75,180,Guard
203933,80,215,Forward
202378,76,203,Guard
78462,77,195,Guard
78463,83,225,Center
1627395,80,209,Forward-Guard
78469,71,175,Guard
78464,76,195,Guard
78465,74,190,Guard
1540,76,190,Forward-Guard
78466,79,210,Forward
78467,80,230,Forward
78468,82,220,Forward
78470,76,190,Guard
78471,81,227,Forward
1629139,81,205,Guard-Forward
201208,83,258,Center
201228,74,175,Guard
2248,73,199,Guard
78474,78,210,Forward
78473,73,175,Guard
204037,82,225,Forward
221,79,270,Forward
78475,79,195,Forward
78477,76,170,Guard
78478,81,255,Forward
1627821,81,202,Forward
1627362,74,165,Guard
78479,78,225,Center
1067,80,232,Forward
101110,79,230,Forward-Guard
78481,85,225,Center
78482,79,215,Forward
78483,76,180,Forward
78484,81,230,Forward
78485,75,180,Guard
78486,74,175,Guard
1719,77,210,Guard-Forward
1528,77,230,Forward
78488,79,200,Forward
78489,73,180,Guard
1846,84,245,Center
2412,79,208,Forward
1629118,84,255,Center
78492,85,250,Center
438,83,250,Center
133,73,203,Guard
78495,83,220,Center
2561,81,250,Forward
2753,75,180,Guard
78497,75,175,Guard
201238,77,210,Guard
78499,76,178,Guard
201566,75,200,Guard
78500,76,195,Guard
78501,77,190,Guard
1545,72,165,Guard
78504,73,185,Guard
78506,73,180,Guard
201591,81,250,Forward
1628401,76,190,Guard
78507,80,200,Forward
78508,74,195,Guard
78509,76,205,Guard
200778,79,215,Guard-Forward
78510,75,190,Guard
1839,80,240,Forward
2206,81,230,Forward
78512,80,210,Forward
78513,74,195,Guard
202358,77,213,Guard
78514,74,170,Guard
78515,75,195,Guard
1628510,79,210,Forward
1627785,76,213,Guard
78516,82,220,Center
